Nama Obat,Deskripsi Obat,Peringatan Sebelum Mengonsumsi Obat,Dosis dan Aturan Pakai Obat,Efek Samping dan Bahaya Obat,Penyakit sesuai dengan obat,Merek Dagang
Zyloric,"Zyloric adalah obat untuk menurunkan kadar asam urat pada penderita penyakit asam urat. Selain itu, Zyloric juga bermanfaat untuk menurunkan kadar asam urat tinggi pada penderita batu ginjal atau pasien yang sedang menjalani kemoterapi.","Peringatan sebelum Menggunakan Zyloric Zyloric hanya boleh digunakan berdasarkan anjuran dari dokter. Berikut adalah hal yang harus diperhatikan sebelum mengonsumsi Zyloric:  Beri tahu dokter mengenai riwayat alergi yang Anda miliki. Zyloric tidak boleh dikonsumsi oleh orang yang alergi terhadap kandungan allopurinol. Informasikan kepada dokter jika Anda pernah atau sedang menderita penyakit ginjal, gangguan sumsum tulang, diabetes, penyakit hati, tiroid, hipertensi, atau gagal jantung kongestif. Sampaikan kepada dokter jika Anda sedang menderita kanker atau menjalani kemoterapi. Bicarakan kepada dokter mengenai obat, suplemen, atau produk herbal lain yang mungkin sedang Anda konsumsi.","Dosis dan Aturan Pakai Zyloric Konsumsilah Zyloric sesuai dengan dosis yang dianjurkan oleh dokter. Berikut adalah dosis umum penggunaan Zyloric berdasarkan usia dan kondisi pasien: Kondisi: Asam urat atau gout Dewasa: 100–200 mg tiap hari. Dosis maksimal 800 mg. Anak usia <15 tahun: 100–300 mg tiap hari. Kondisi: Hiperurisemia yang disebabkan oleh gangguan enzim  Anak usia <15 tahun: 10–20 mg/kgBB tiap hari, Dosis maksimal 400 mg. Kondisi: Pengobatan batu ginjal Dewasa: 200–300 mg dikonsumsi sebanyak 2–3 kali per hari. Kondisi: Hiperurisemia yang disebabkan oleh kemoterapi Dewasa: 600–800 mg per hari dikonsumsi sebanyak 1–2 kali per hari selama 2–3 hari sebelum menjalani kemoterapi. Anak usia 6–10 tahun: 300 mg per hari. Dosis maksimal 400 mg tiap hari. Anak usia <6 tahun: 150 mg tiap hari.","efek samping terhadap janin, tetapi belum ada studi terkontrol pada ibu hamil. Obat ini hanya boleh digunakan jika besarnya manfaat yang diharapkan melebihi besarnya risiko terhadap janin. Zyloric untuk ibu menyusui Zyloric dapat digunakan oleh ibu menyusui selama sesuai dengan anjuran dokter. Selama minum obat ini, ibu menyusui disarankan untuk mengawasi kondisi bayi. Jika bayi tidak mau menyusu, mengalami ruam, dan muntah, segera konsultasikan kepada dokter.",Asam urat tinggi (gout  batu ginjal asam urat),Zyloric
Zovirax Krim,"Zovirax Krim adalah obat oles yang berguna untuk mengatasi infeksi herpes simpleks di kulit, termasuk area bibir dan kelamin. Obat ini dapat mengurangi keluhan nyeri, panas, gatal, kesemutan, dan luka lepuh akibat kondisi tersebut.","Peringatan sebelum Menggunakan Zovirax Krim Zovirax krim tidak boleh digunakan secara sembarangan. Ada beberapa hal yang perlu diperhatikan sebelum menggunakan obat ini, yaitu: Beri tahu dokter mengenai riwayat alergi yang Anda miliki. Zovirax krim tidak boleh digunakan oleh orang yang alergi terhadap acyclovir atau valacyclovir. Informasikan kepada dokter jika Anda menderita penyakit ginjal atau gangguan kesehatan yang dapat melemahkan daya tahan tubuh, seperti HIV/AIDS. Beri tahu dokter jika Anda pernah menjalani transplantasi sumsum tulang belakang. Diskusikan dengan dokter mengenai penggunaan Zovirax krim jika Anda sedang hamil, menyusui, atau sedang merencanakan kehamilan. Informasikan kepada dokter jika Anda sedang menggunakan obat tertentu, termasuk obat oles lain, produk herbal, dan suplemen.",dosis yang sesuai dengan kondisi Anda.,"efek samping serius setelah memakai Zovirax krim. Dosis dan Aturan Pakai Zovirax Krim Untuk mengatasi herpes simpleks di kulit, berikut adalah dosis umum penggunaan Zovirax: Dewasa dan anak-anak: Oleskan krim tipis-tipis dan merata pada area kulit yang terkena herpes sebanyak 5 kali sehari, setiap 4 jam. Durasi pengobatan selama 5–10 hari, tergantung pada keluhan yang dialami pasien.",Infeksi herpes simpleks (pada kulit dan bibir),Zovirax Krim
Zovigen,"Zovigen adalah obat oles yang bermanfaat untuk mengatasi infeksi herpes di bibir dan alat kelamin. Obat ini mampu mempercepat penyembuhan gejala infeksi herpes, seperti luka lepuh yang disertai nyeri, gatal, rasa terbakar, atau kesemutan.","Peringatan sebelum Menggunakan Zovigen Zovigen tidak boleh digunakan sembarangan, tetapi harus mengikuti anjuran dokter. Perhatikan beberapa hal berikut sebelum menggunakan obat ini: Beri tahu dokter mengenai riwayat alergi yang Anda miliki. Zovigen tidak boleh digunakan oleh orang yang alergi terhadap kandungan dari obat ini. Informasikan ke dokter jika Anda pernah atau sedang mengalami sistem kekebalan tubuh yang lemah, misalnya akibat menderita HIV/AIDS atau menggunakan obat kemoterapi. Zovigen tidak boleh digunakan oleh anak usia <12 tahun. Pastikan untuk memberi tahu dokter jika sedang hamil, merencanakan kehamilan, atau sedang menyusui. Beri tahu dokter jika Anda sedang atau berencana menggunakan obat oles atau produk perawatan kulit lain di area kulit yang sedang diobati dengan krim Zovigen.",Dosis dan Aturan Pakai Zovigen Berikut ini adalah dosis umum penggunaan krim Zovigen berdasarkan kondisi yang ditangani: Kondisi: Herpes bibir Dewasa: 5 kali sehari setiap 4 jam. Krim digunakan selama 4–10 hari. Anak usia ≥12 tahun: 5 kali sehari. Krim dipakai selama 4 hari. Kondisi: Herpes kelamin (herpes genital) Dewasa: 5 kali sehari setiap 4 jam. Krim dipakai selama 5–10 hari.,efek samping serius setelah menggunakan Zovigen.,Infeksi herpes simpleks atau virus lainnya,Zovigen
Zoralin Krim,"Zoralin Krim adalah obat oles untuk mengatasi infeksi jamur kulit. Beberapa kondisi kulit yang bisa diatasi dengan obat ini adalah panu, kurap, kutu air, dermatitis seboroik, serta infeksi jamur pada selangkangan (tinea cruris).","Peringatan sebelum Menggunakan Zoralin Krim Meski termasuk golongan obat bebas terbatas, penggunaan Zoralin Krim tetap harus dilakukan secara hati-hati. Berikut ini adalah hal yang perlu Anda perhatikan sebelum menggunakan Zoralin Krim: Informasikan kepada dokter jika Anda memiliki alergi. Zoralin Krim tidak boleh digunakan oleh orang yang alergi terhadap kandungan ketoconazole atau obat lain yang juga golongan antijamur azole, seperti clotrimazole, econazole, atau miconazole. Bicarakan dengan dokter jika Anda memiliki riwayat penyakit asma. Beri tahu dokter jika Anda sedang menggunakan obat, suplemen, atau produk herbal lain, terutama yang dioleskan ke kulit.","Dosis Zoralin Krim Oleskan Zoralin krim pada area kulit yang terinfeksi secara tipis-tipis sebanyak 1–2 kali sehari, selama 2–4 minggu. Gunakan Zoralin krim hingga beberapa hari setelah gejala menghilang atau sesuai anjuran dokter.","efek samping terhadap janin, tetapi belum ada studi terkontrol pada ibu hamil. Obat ini hanya boleh digunakan jika besarnya manfaat yang diharapkan melebihi besarnya risiko terhadap janin. Zoralin krim untuk ibu menyusui Zoralin krim dapat digunakan oleh ibu menyusui. Namun, jika Anda memakai obat ini di payudara, lakukan setelah menyusui dan pastikan area payudara sudah dibersihkan terlebih dahulu sebelum bayi menyusu kembali.",Infeksi jamur pada kulit (kurap  panu  kutu air),Zoralin Krim
Zoralin,Zoralin adalah tablet antijamur berbahan aktif ketoconazole. Zoralin dapat mengobati infeksi jamur sistemik yang menyerang organ dalam tubuh.,"Peringatan sebelum Mengonsumsi Zoralin Zoralin tidak boleh digunakan oleh orang yang berusia di atas 60 tahun atau lansia. Hal penting lain yang perlu Anda perhatikan sebelum menjalani pengobatan dengan Zoralin adalah: Beri tahu dokter tentang riwayat alergi yang Anda miliki. Zoralin tidak boleh dikonsumsi oleh orang yang alergi terhadap ketoconazole atau obat lain yang termasuk antijamur jenis azole, seperti fluconazole atau itraconazole. Informasikan kepada dokter jika Anda menderita penyakit liver. Obat antijamur yang mengandung ketoconazole tidak boleh digunakan oleh penderita kondisi tersebut. Beri tahu dokter dokter jika Anda pernah atau sedang mengalami hipokalemia, kekurangan magnesium (hipomagnesemia), kecanduan minuman beralkohol, atau penyakit jantung. Beri tahu dokter jika Anda atau keluarga Anda memiliki riwayat gangguan irama jantung (aritmia), kelainan pada hasil EKG, atau henti jantung mendadak pada usia muda. Informasikan kepada dokter jika Anda memiliki penyakit Addison atau kelainan pada lambung yang disebut achlorhydria (lambung tidak memproduksi asam lambung). Pastikan untuk memberi tahu dokter mengenai semua obat lain yang sedang Anda gunakan, termasuk suplemen dan produk herbal.","Dosis dan Aturan Pakai Zoralin Berikut adalah rekomendasi dosis ketoconazole di dalam Zoralin yang dikelompokkan berdasarkan tujuan penggunaannya: Kondisi: Infeksi jamur sistemik, seperti histoplasmosis atau blastomycosis Dewasa: 1 tablet, 1 kali sehari. Dosis dapat ditingkatkan menjadi 2 tablet, 1 kali sehari jika respons terapi yang diharapkan belum tercapai. Anak usia >2 tahun: Dokter akan menyesuaikan dosis Zoralin berdasarkan berat badan (BB) pasien. Kondisi: Sindrom Cushing pada orang dewasa dan anak usia ≥12 tahun Dosis awal: 2–3 tablet per hari. Dosis dapat ditingkatkan sebanyak 1 tablet setelah pemakaian selama 7–28 hari. Dosis lanjutan: 3–4 tablet per hari, dosis maksimal 6 tablet per hari yang dibagi ke dalam 2–3 kali jadwal konsumsi. Penggunaan obat ini dapat dihentikan sesuai kondisi liver dan kelenjar adrenal pasien. Kondisi: Infeksi jamur kulit Dewasa: 1 tablet, 1 kali sehari. Dosis bisa ditingkatkan menjadi 2 tablet, 1 kali sehari, jika gejala infeksi tidak membaik. Anak usia >2 tahun: Dokter akan menyesuaikan dosis Zoralin berdasarkan berat badan (BB) pasien. Lama pengobatan tergantung pada jenis infeksi jamur kulit yang diobati, maksimal 1 bulan.","efek samping ketoconazole terhadap janin, tetapi belum ada studi terkontrol pada ibu hamil. Obat ini hanya boleh digunakan jika besarnya manfaat yang diharapkan melebihi besarnya risiko terhadap janin. Zoralin tablet untuk ibu menyusui Ibu menyusui harus berkonsultasi dengan dokter terlebih dahulu sebelum menggunakan obat ini.",Infeksi jamur sistemik atau pada kulit dan kuku,Zoralin
Zonisamide,Zonisamide adalah obat untuk mengatasi kejang parsial pada epilepsi. Zonisamide dapat digunakan sebagai terapi tunggal atau terapi tambahan pada pengobatan epilepsi.,Peringatan sebelum Menggunakan Zonisamide Zonisamide tidak boleh digunakan sembarangan. Berikut ini adalah beberapa hal yang harus Anda perhatikan sebelum mengonsumsi zonisamide: Jangan mengonsumsi zonisamide jika Anda alergi terhadap obat ini atau obat golongan sulfa. Beri tahu dokter tentang riwayat alergi yang Anda miliki.,"dosis metabolik, gangguan pernapasan, diare, penyakit ginjal, batu ginjal, glaukoma, atau penyakit hati. Beri tahu dokter jika Anda sedang menjalani diet ketogenik. Beri tahu dokter jika Anda pernah atau sedang menderita gangguan mental, seperti depresi atau psikosis. Segera temui dokter jika Anda memiliki keinginan untuk bunuh diri atau menyakiti diri sendiri selama menjalani pengobatan dengan zonisamide. Hindari berendam di air hangat atau terpapar suhu panas dalam waktu yang lama selama menjalani pengobatan dengan zonisamide, karena obat ini dapat menurunkan kemampuan tubuh untuk berkeringat. Jangan mengemudikan kendaraan atau melakukan kegiatan yang memerlukan kesiagaan setelah mengonsumsi zonisamide, karena obat ini dapat menyebabkan kantuk. Beri tahu dokter jika Anda sedang hamil, menyusui, atau sedang merencanakan kehamilan. Beri tahu dokter jika Anda sedang menggunakan obat, suplemen, atau produk herbal tertentu. Segera temui dokter jika Anda mengalami reaksi alergi obat, overdosis, atau efek samping serius setelah mengonsumsi zonisamide. Dosis dan Aturan Pakai Zonisamide Zonisamide hanya dapat digunakan sesuai dengan resep dokter. Berikut ini adalah dosis umum zonisamide untuk mengatasi kejang parsial pada epilepsi berdasarkan jenis terapi dan usia pasien: Terapi tunggal pada orang dewasa Dosis awal: Pada pasien yang baru didiagnosis menderita epilepsi, 100 mg 1 kali sehari. Setelah 2 minggu, dosis dapat ditambah menjadi 200 mg 1 kali sehari. Kemudian, dosis dapat ditambah 100 mg setiap 2 minggu, sesuai kondisi dan respons tubuh pasien. Dosis pemeliharaan: 300–500 mg 1 kali sehari. Terapi tambahan pada orang dewasa Dosis awal: 50 mg per hari, dibagi dalam 2 kali konsumsi. Dosis dapat ditingkatkan menjadi 100 mg per hari setelah 1 minggu. Setelah itu, dosis dapat ditambah 100 mg setiap minggu, sesuai kondisi dan respons tubuh pasien. Dosis pemeliharaan: 300–500 mg per hari. Terapi tambahan pada anak-anak Dosis awal: 1 mg/kgBB 1 kali sehari selama 1 minggu. Dosis dapat ditambah 1 mg/kgBB setiap minggu sesuai kondisi dan respons tubuh pasien. Dosis pemeliharaan pada anak-anak dengan berat badan 20–55 kg: 6–8 mg/kgBB 1 kali sehari. Dosis pemeliharaan pada anak-anak dengan berat badan >55 kg: 300–500 mg 1 kali sehari.","efek samping terhadap janin, tetapi belum ada studi terkontrol pada ibu hamil. Obat ini hanya boleh digunakan jika besarnya manfaat yang diharapkan melebihi besarnya risiko terhadap janin. Zonisamide untuk ibu menyusui Zonisamide dapat terserap ke dalam ASI. Bila Anda sedang menyusui, jangan menggunakan obat ini tanpa seizin dokter.",Epilepsi (kejang),Zonisamide Zonegran 
Zolta,"Zolta adalah obat untuk menangani insomnia atau sulit tidur. Obat ini dapat mengatasi keluhan sulit memulai tidur, sering terbangun saat tidur dan susah untuk tidur kembali, atau bangun terlalu awal pada pagi hari akibat gangguan tidur tersebut.","Peringatan sebelum Menggunakan Zolta Sebelum menggunakan Zolta, Anda perlu memperhatikan beberapa hal berikut: Beri tahu dokter perihal riwayat alergi yang Anda miliki. Zolta tidak boleh dikonsumsi oleh orang yang alergi terhadap zolpidem. Informasikan kepada dokter jika Anda pernah atau sedang menderita gangguan pernapasan, seperti PPOK, bronkitis, atau emfisema; sleep apnea, myasthenia gravis, penyakit liver, penyakit ginjal, depresi, atau intoleransi terhadap galaktosa maupun laktosa. Sampaikan kepada dokter jika Anda pernah atau sedang mengalami kecanduan alkohol, penyalahgunaan NAPZA, keinginan untuk melakukan percobaan bunuh diri, atau penyakit mental lain, seperti depresi. Beri tahu dokter jika Anda sedang menggunakan obat lain, termasuk suplemen dan produk herbal.","Dosis dan Aturan Pakai Zolta Berikut ini adalah dosis umum penggunaan Zolta untuk mengatasi insomnia: Dewasa: 5–10 mg, 1 kali sehari, yang diminum tepat sebelum tidur. Dosis maksimal 10 mg per hari. Lama pengobatan maksimal 4 minggu.","efek samping terhadap janin, tetapi belum ada studi terkontrol pada ibu hamil. Obat ini hanya boleh digunakan jika besarnya manfaat yang diharapkan melebihi besarnya risiko terhadap janin. Zolta untuk ibu menyusui Zolta sebaiknya tidak dikonsumsi oleh ibu menyusui. Konsultasikan kepada dokter perihal alternatif obat yang bisa digunakan selama masa menyusui. Jika sudah diresepkan Zolta, jangan menyusui dalam waktu 23 jam setelah menggunakan obat ini. Jangan memberikan ASI kepada bayi meski ASI tersebut diperah melalui pompa ASI.",Kondisi neurologis atau kejang,Zolta
Zolpidem,"Zolpidem adalah obat untuk menangani insomnia, yaitu gangguan tidur yang menyebabkan penderitanya sulit memulai tidur, sering terbangun saat tidur, atau bangun terlalu cepat dan tidak bisa tidur kembali. Obat ini hanya boleh digunakan sesuai resep dokter.","Peringatan Sebelum Mengonsumsi Zolpidem Ada hal-hal yang harus Anda perhatikan sebelum mengonsumsi zolpidem, di antaranya: Beri tahu dokter riwayat alergi yang Anda miliki. Zolpidem tidak boleh dikonsumsi oleh orang yang memiliki alergi terhadap obat ini. Jangan mengonsumsi minuman beralkohol atau jeruk bali (grapefruit) selama menjalani pengobatan dengan zolpidem karena dapat meningkatkan risiko terjadinya efek samping. Jangan mengonsumsi zolpidem jika Anda pernah atau sedang menderita psikosis, kesulitan bernapas (hipoventilasi), sleep apnea, atau myasthenia gravis. Beri tahu dokter jika Anda pernah atau sedang menderita penyakit hati, penyakit ginjal, kecanduan alkohol, gangguan sistem pernapasan, penyalahgunaan NAPZA, keinginan untuk bunuh diri, atau gangguan mental, lain seperti depresi. Jangan langsung mengemudi atau melakukan aktivitas lain yang memerlukan kewaspadaan setelah mengonsumsi zolpidem. Obat ini dapat menyebabkan pusing dan kantuk. Beri tahu dokter jika Anda sedang hamil, menyusui, atau sedang merencanakan kehamilan.",Dosis dan Aturan Pakai Zolpidem Berikut adalah dosis zolpidem untuk mengatasi insomnia berdasarkan usia pasien: Dewasa: 5–10 mg dikonsumsi tepat sebelum tidur. Dosis maksimal 10 mg per hari. Lama pengobatan maksimal 4 minggu. Lansia: 5 mg diminum tepat sebelum tidur. Lama pengobatan maksimal 4 minggu.,"efek samping terhadap janin, tetapi belum ada studi terkontrol pada ibu hamil. Obat ini hanya boleh digunakan jika besarnya manfaat yang diharapkan melebihi besarnya risiko terhadap janin. Konsultasikan ke dokter mengenai konsumsi zolpidem jika Anda sedang menyusui. Jika Anda sudah diresepkan obat ini oleh dokter, hindari tidur bersama bayi selama menjalani pengobatan dengan zolpidem. Perhatikan jika bayi mudah mengantuk atau hilang nafsu makan selama Anda menggunakan zolpidem pada masa menyusui.",Insomnia (kesulitan tidur),"zolpidem Stilnox, Zolmia, Zolpidem Tartrate, Zolta, Zudem "
Zolmia,Zolmia adalah obat untuk mengatasi susah tidur atau insomnia. Obat ini dapat membantu penderita insomnia agar mudah tertidur dan jarang terbangun pada malam hari.,"Peringatan sebelum Menggunakan Zolmia Sebelum mengonsumsi Zolmia, perhatikanlah beberapa hal berikut: Beri tahu dokter mengenai riwayat alergi yang Anda miliki. Zolmia tidak boleh digunakan oleh orang yang alergi terhadap kandungan di dalam obat ini. Sampaikan kepada dokter jika Anda pernah atau sedang menderita penyakit liver, sleep apnea, myasthenia gravis, penyakit ginjal, depresi, intoleransi terhadap laktosa maupun galaktosa; atau gangguan pernapasan, seperti bronkitis, PPOK, atau emfisema. Informasikan kepada dokter jika Anda pernah atau sedang mengalami kecanduan alkohol, penyalahgunaan NAPZA, keinginan untuk melakukan percobaan bunuh diri, atau gangguan mental lain, seperti depresi.","Dosis dan Aturan Pakai Zolmia Berikut ini adalah dosis umum penggunaan Zolmia untuk mengatasi insomnia: Dewasa: 5–10 mg, 1 kali sehari, dikonsumsi tepat sebelum tidur. Dosis maksimal 10 mg per hari. Lama pengobatan maksimal 4 minggu.","efek samping terhadap janin, tetapi belum ada studi terkontrol pada ibu hamil. Obat ini hanya boleh digunakan jika besarnya manfaat yang diharapkan melebihi besarnya risiko terhadap janin. Zolmia untuk ibu menyusui Zolmia tidak dianjurkan untuk ibu menyusui. Diskusikan dengan dokter perihal obat pengganti yang bisa digunakan selama masa menyusui. Bila sudah diresepkan Zolmia, jangan menyusui dalam waktu 23 jam setelah mengonsumsi obat ini. Hindari memberikan ASI kepada bayi meski ASI tersebut diperah melalui pompa ASI.",Insomnia,Zolmia
Zoline,"Zoline adalah obat untuk meringankan gejala alergi, seperti bibir bengkak, hidung meler, bersin-bersin, mata berair, serta biduran dan kulit gatal. Obat dengan kandungan mebhydrolin ini tersedia dalam bentuk kaplet.","Peringatan sebelum Menggunakan Zoline Zoline hanya boleh digunakan sesuai resep dokter. Ada beberapa hal yang harus diperhatikan sebelum mengonsumsi Zoline, yaitu: Beri tahu dokter tentang riwayat alergi yang Anda miliki. Zoline tidak boleh dikonsumsi oleh orang yang alergi terhadap mebhydrolin. Jangan memberikan obat ini kepada bayi baru lahir atau bayi yang prematur. Pastikan untuk memberi tahu dokter jika Anda menderita asma. Zoline tidak boleh digunakan untuk mengatasi serangan asma akut. Beri tahu dokter jika Anda menderita pembesaran prostat, sulit buang air kecil, glaukoma sudut tertutup, pembesaran prostat, sumbatan antara lambung dan usus halus, atau epilepsi. Informasikan kepada dokter jika Anda sedang hamil, menyusui, atau sedang merencanakan kehamilan. Diskusikan dengan dokter mengenai penggunaan Zoline jika Anda sedang menggunakan obat lain, termasuk suplemen dan produk herbal.","Dosis dan Aturan Pakai Zoline Berikut ini adalah dosis umum penggunaan Zoline untuk mengatasi gejala alergi berdasarkan usia pasien: Dewasa: 1–2 kaplet, 3 kali sehari Anak usia ≥10 tahun: 1–4 kaplet, 1 kali sehari. Dosis ini dibagi menjadi 2 kali pemberian.",efek samping serius setelah menggunakan Zoline.,Kondisi mata (tetes mata) atau alergi,Zoline
