instruction,input,output,specialty_key
Klasifikasikan keluhan medis berikut ke spesialisasi yang tepat.,"Halo Dok, saya merasa tumor jinak, hernia, luka dan juga operasi.",Keluhan ini termasuk dalam kategori Bedah Umum. Anda disarankan berkonsultasi dengan Dokter Spesialis Bedah (Sp.B).,bedah
Klasifikasikan keluhan medis berikut ke spesialisasi yang tepat.,"Halo Dok, saya merasa luka, appendisitis, tumor jinak dan juga hernia.",Keluhan ini termasuk dalam kategori Bedah Umum. Anda disarankan berkonsultasi dengan Dokter Spesialis Bedah (Sp.B).,bedah
Klasifikasikan keluhan medis berikut ke spesialisasi yang tepat.,"Halo Dok, saya merasa tumor jinak dan juga luka.",Keluhan ini termasuk dalam kategori Bedah Umum. Anda disarankan berkonsultasi dengan Dokter Spesialis Bedah (Sp.B).,bedah
Klasifikasikan keluhan medis berikut ke spesialisasi yang tepat.,"Halo Dok, saya merasa luka, appendisitis dan juga hernia.",Keluhan ini termasuk dalam kategori Bedah Umum. Anda disarankan berkonsultasi dengan Dokter Spesialis Bedah (Sp.B).,bedah
Klasifikasikan keluhan medis berikut ke spesialisasi yang tepat.,"Halo Dok, saya merasa tumor jinak dan juga operasi.",Keluhan ini termasuk dalam kategori Bedah Umum. Anda disarankan berkonsultasi dengan Dokter Spesialis Bedah (Sp.B).,bedah
Klasifikasikan keluhan medis berikut ke spesialisasi yang tepat.,"Halo Dok, saya merasa operasi, appendisitis, hernia dan juga tumor jinak.",Keluhan ini termasuk dalam kategori Bedah Umum. Anda disarankan berkonsultasi dengan Dokter Spesialis Bedah (Sp.B).,bedah
Klasifikasikan keluhan medis berikut ke spesialisasi yang tepat.,"Halo Dok, saya merasa tumor jinak, operasi, hernia dan juga appendisitis.",Keluhan ini termasuk dalam kategori Bedah Umum. Anda disarankan berkonsultasi dengan Dokter Spesialis Bedah (Sp.B).,bedah
Klasifikasikan keluhan medis berikut ke spesialisasi yang tepat.,"Halo Dok, saya merasa appendisitis dan juga luka.",Keluhan ini termasuk dalam kategori Bedah Umum. Anda disarankan berkonsultasi dengan Dokter Spesialis Bedah (Sp.B).,bedah
Klasifikasikan keluhan medis berikut ke spesialisasi yang tepat.,"Halo Dok, saya merasa appendisitis, tumor jinak, hernia dan juga operasi.",Keluhan ini termasuk dalam kategori Bedah Umum. Anda disarankan berkonsultasi dengan Dokter Spesialis Bedah (Sp.B).,bedah
Klasifikasikan keluhan medis berikut ke spesialisasi yang tepat.,"Halo Dok, saya merasa luka, hernia dan juga appendisitis.",Keluhan ini termasuk dalam kategori Bedah Umum. Anda disarankan berkonsultasi dengan Dokter Spesialis Bedah (Sp.B).,bedah
Klasifikasikan keluhan medis berikut ke spesialisasi yang tepat.,"Halo Dok, saya merasa malnutrisi, defisiensi gizi dan juga obesitas.",Keluhan ini termasuk dalam kategori Gizi Klinik. Anda disarankan berkonsultasi dengan Dokter Spesialis Gizi Klinik (Sp.GK).,gizi_klinik
Klasifikasikan keluhan medis berikut ke spesialisasi yang tepat.,"Halo Dok, saya merasa defisiensi gizi, obesitas dan juga malnutrisi.",Keluhan ini termasuk dalam kategori Gizi Klinik. Anda disarankan berkonsultasi dengan Dokter Spesialis Gizi Klinik (Sp.GK).,gizi_klinik
Klasifikasikan keluhan medis berikut ke spesialisasi yang tepat.,"Halo Dok, saya merasa defisiensi gizi dan juga obesitas.",Keluhan ini termasuk dalam kategori Gizi Klinik. Anda disarankan berkonsultasi dengan Dokter Spesialis Gizi Klinik (Sp.GK).,gizi_klinik
Klasifikasikan keluhan medis berikut ke spesialisasi yang tepat.,"Halo Dok, saya merasa obesitas, defisiensi gizi dan juga malnutrisi.",Keluhan ini termasuk dalam kategori Gizi Klinik. Anda disarankan berkonsultasi dengan Dokter Spesialis Gizi Klinik (Sp.GK).,gizi_klinik
Klasifikasikan keluhan medis berikut ke spesialisasi yang tepat.,"Halo Dok, saya merasa malnutrisi dan juga obesitas.",Keluhan ini termasuk dalam kategori Gizi Klinik. Anda disarankan berkonsultasi dengan Dokter Spesialis Gizi Klinik (Sp.GK).,gizi_klinik
