prompt,chosen,rejected,specialty
"Halo Dok, saya merasa pendarahan dan luka.","Berdasarkan gejala Anda, ini termasuk dalam kategori Bedah Umum. Sangat disarankan untuk berkonsultasi dengan Sp.B.",Keluhan Anda sepertinya berhubungan dengan Ilmu Penyakit Saraf. Silakan hubungi Sp.S.,bedah
"Halo Dok, saya merasa operasi, jahitan dan luka.","Berdasarkan gejala Anda, ini termasuk dalam kategori Bedah Umum. Sangat disarankan untuk berkonsultasi dengan Sp.B.",Keluhan Anda sepertinya berhubungan dengan Onkologi Medik. Silakan hubungi Sp.PD-KHOM.,bedah
"Halo Dok, saya merasa benjolan, kanker dan kemoterapi.","Berdasarkan gejala Anda, ini termasuk dalam kategori Onkologi Medik. Sangat disarankan untuk berkonsultasi dengan Sp.PD-KHOM.",Keluhan Anda sepertinya berhubungan dengan Bedah Umum. Silakan hubungi Sp.B.,onkologi
"Halo Dok, saya merasa benjolan, kemoterapi dan kanker.","Berdasarkan gejala Anda, ini termasuk dalam kategori Onkologi Medik. Sangat disarankan untuk berkonsultasi dengan Sp.PD-KHOM.",Keluhan Anda sepertinya berhubungan dengan Pulmonologi. Silakan hubungi Sp.P.,onkologi
"Halo Dok, saya merasa mati rasa dan stroke.","Berdasarkan gejala Anda, ini termasuk dalam kategori Ilmu Penyakit Saraf. Sangat disarankan untuk berkonsultasi dengan Sp.S.",Keluhan Anda sepertinya berhubungan dengan Bedah Umum. Silakan hubungi Sp.B.,saraf
"Halo Dok, saya merasa stroke dan mati rasa.","Berdasarkan gejala Anda, ini termasuk dalam kategori Ilmu Penyakit Saraf. Sangat disarankan untuk berkonsultasi dengan Sp.S.",Keluhan Anda sepertinya berhubungan dengan Pulmonologi. Silakan hubungi Sp.P.,saraf
"Halo Dok, saya merasa paru, asma dan sesak napas.","Berdasarkan gejala Anda, ini termasuk dalam kategori Pulmonologi. Sangat disarankan untuk berkonsultasi dengan Sp.P.",Keluhan Anda sepertinya berhubungan dengan Bedah Umum. Silakan hubungi Sp.B.,pulmonologi
"Halo Dok, saya merasa paru dan asma.","Berdasarkan gejala Anda, ini termasuk dalam kategori Pulmonologi. Sangat disarankan untuk berkonsultasi dengan Sp.P.",Keluhan Anda sepertinya berhubungan dengan Kardiologi. Silakan hubungi Sp.JP.,pulmonologi
"Halo Dok, saya merasa jantung, nyeri dada dan hipertensi.","Berdasarkan gejala Anda, ini termasuk dalam kategori Kardiologi. Sangat disarankan untuk berkonsultasi dengan Sp.JP.",Keluhan Anda sepertinya berhubungan dengan Pulmonologi. Silakan hubungi Sp.P.,kardiologi
"Halo Dok, saya merasa nyeri dada, jantung dan palpitasi.","Berdasarkan gejala Anda, ini termasuk dalam kategori Kardiologi. Sangat disarankan untuk berkonsultasi dengan Sp.JP.",Keluhan Anda sepertinya berhubungan dengan Pulmonologi. Silakan hubungi Sp.P.,kardiologi
